Exam,Section(s),Day,Date,Start,Finish,Location
CHEM 221,001,Tuesday,"August 13, 2024",7:30 PM,9:00 PM,MC 4061
CHEM 233,001,Wednesday,"August 7, 2024",7:30 PM,10:00 PM,STC 0010
CHEM 237,001,Wednesday,"August 7, 2024",12:30 PM,3:00 PM,"PAC 1, 3"
CHEM 237L,001002,Tuesday,"August 6, 2024",9:00 AM,11:00 AM,STC 0020
CHEM 254,001,Tuesday,"August 6, 2024",7:30 PM,10:00 PM,DC 1350
CHEM 264,001,Friday,"August 2, 2024",7:30 PM,10:00 PM,STC 0010
CHEM 265,001,Friday,"August 9, 2024",9:00 AM,11:30 AM,STC 0020
CHEM 266,081,Friday,"August 9, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
CHEM 750,001,,,,,See instructor for exam details
CHINA 120R,001,Friday,"August 2, 2024",9:00 AM,11:30 AM,MC 4064
CHINA 201R,001,Friday,"August 2, 2024",12:30 PM,3:00 PM,MC 4064
CHINA 301R,001,Thursday,"August 8, 2024",7:30 PM,10:00 PM,MC 4064
CIVE 105,001,Thursday,"August 15, 2024",9:00 AM,11:30 AM,MC 4061
CIVE 205,001,Friday,"August 2, 2024",9:00 AM,11:30 AM,DC 1350
CIVE 222,001,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,DC 1350
CIVE 280,001,Thursday,"August 8, 2024",9:00 AM,11:30 AM,DC 1350
CIVE 413,001,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,"RCH 301, 302"
CIVE 414,001,Friday,"August 2, 2024",9:00 AM,11:30 AM,"PAC 2, 4"
CIVE 491,001,Thursday,"August 8, 2024",9:00 AM,11:30 AM,"PAC 2, 4"
CIVE 505,001,Friday,"August 9, 2024",9:00 AM,11:30 AM,MC 4064
CIVE 596,001,Tuesday,"August 13, 2024",9:00 AM,11:30 AM,PAC 2
CIVE 604,001,,,,,See instructor for exam details
CIVE 700,002,Friday,"August 9, 2024",4:00 PM,6:30 PM,"E5 3101, 3102"
CIVE 711,001,,,,,See instructor for exam details
CO 250,001002,Tuesday,"August 13, 2024",9:00 AM,11:30 AM,"PAC 7, 8"
CO 250,081,Saturday,"August 10, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
CO 327,001,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,MC 4060
CO 342,001,Tuesday,"August 6, 2024",12:30 PM,3:00 PM,PAC 5
CO 351,001,Thursday,"August 8, 2024",12:30 PM,3:00 PM,PAC 6
CO 454,001,Saturday,"August 10, 2024",7:30 PM,10:00 PM,MC 4061
CO 471,001,Wednesday,"August 7, 2024",12:30 PM,3:00 PM,MC 4064
CO 671,001,Wednesday,"August 7, 2024",12:30 PM,3:00 PM,MC 4064
COMM 101,001,Tuesday,"August 6, 2024",9:00 AM,11:00 AM,MC 4058
COMM 321,001,Thursday,"August 15, 2024",9:00 AM,11:30 AM,STC 0020
CS 100,001,Wednesday,"August 7, 2024",4:00 PM,6:30 PM,PAC 5
CS 115,001,Saturday,"August 10, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
CS 116,001,Saturday,"August 10, 2024",4:00 PM,6:30 PM,Confirm individual schedule in Odyssey
CS 136,001002,Monday,"August 12, 2024",4:00 PM,6:30 PM,"PAC 7, 8"
CS 230,001,Monday,"August 12, 2024",4:00 PM,6:30 PM,"PAC 2, 4"
CS 240,001-005,Tuesday,"August 6, 2024",7:30 PM,10:00 PM,"PAC 1, 2, 3, 4, 5"
CS 241,001-003,Monday,"August 12, 2024",4:00 PM,6:30 PM,"PAC 1, 3, 5"
CS 245,001-003,Thursday,"August 15, 2024",9:00 AM,11:30 AM,STC 1012
CS 246,001-003,Saturday,"August 10, 2024",12:30 PM,3:00 PM,"PAC 1, 3, 5"
CS 247,001,Friday,"August 16, 2024",9:00 AM,11:30 AM,DC 1351
CS 251,001-003,Wednesday,"August 7, 2024",4:00 PM,6:30 PM,"PAC 6, 7, 8"
CS 330,001002,Tuesday,"August 6, 2024",7:30 PM,10:00 PM,"PAC 7, 8"
CS 338,001002,Monday,"August 12, 2024",12:30 PM,2:30 PM,M3 1006
CS 341,001002,Friday,"August 16, 2024",9:00 AM,11:30 AM,M3 1006
CS 348,001004,Tuesday,"August 13, 2024",4:00 PM,6:30 PM,MC 4061
CS 348,002003,Tuesday,"August 13, 2024",4:00 PM,6:30 PM,M3 1006
CS 349,001,Thursday,"August 8, 2024",7:30 PM,10:00 PM,DC 1350
CS 350,001002,Monday,"August 12, 2024",9:00 AM,11:30 AM,M3 1006
CS 360,001,Tuesday,"August 6, 2024",4:00 PM,6:30 PM,PAC 8
CS 370,001002,Friday,"August 9, 2024",7:30 PM,10:00 PM,M3 1006
CS 371,001002,Friday,"August 16, 2024",12:30 PM,3:00 PM,M3 1006
CS 445,001,Thursday,"August 15, 2024",12:30 PM,3:00 PM,MC 4061
CS 446,001002,Wednesday,"August 14, 2024",9:00 AM,11:30 AM,"PAC 7, 8"
CS 456,001002,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,M3 1006
CS 475,001,Thursday,"August 15, 2024",9:00 AM,11:30 AM,STC 0040
CS 486,001-003,Wednesday,"August 7, 2024",7:30 PM,10:00 PM,STC 1012
CS 490,001,Monday,"August 12, 2024",4:00 PM,6:00 PM,MC 4061
CS 646,001002,Wednesday,"August 14, 2024",9:00 AM,11:30 AM,"PAC 7, 8"
CS 656,001002,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,M3 1006
CS 675,001,Thursday,"August 15, 2024",9:00 AM,11:30 AM,STC 0040
CS 686,001-003,Wednesday,"August 7, 2024",7:30 PM,10:00 PM,STC 1012
CS 762,001,,,,,See instructor for exam details
CULT 205W,,,,,,See WLU Final Exam Schedule
DUTCH 101,081,Wednesday,"August 7, 2024",9:00 AM,11:00 AM,Online-See instructor for exam details
DUTCH 102,081,Tuesday,"August 6, 2024",9:00 AM,11:00 AM,Online-See instructor for exam details
EARTH 123,081,Friday,"August 9, 2024",9:00 AM,11:30 AM,Online-See instructor for exam details
EARTH 221,001,Tuesday,"August 13, 2024",4:00 PM,6:30 PM,MC 4059
EARTH 232,001,Wednesday,"August 14, 2024",4:00 PM,6:30 PM,MC 4063
EARTH 444,001,Monday,"August 12, 2024",4:00 PM,6:30 PM,PAC 6
EARTH 458,001,Tuesday,"August 6, 2024",7:30 PM,10:00 PM,"PAC UPPER 9, 10"
ECE 106,001002,Monday,"August 12, 2024",12:30 PM,3:00 PM,"PAC 1, 3, 5"
ECE 108,001002,Friday,"August 16, 2024",9:00 AM,11:30 AM,"STC 1012, 0010"
ECE 124,001002,Friday,"August 2, 2024",9:00 AM,11:30 AM,"PAC 1, 3, 5"
ECE 140,001002,Thursday,"August 8, 2024",9:00 AM,11:30 AM,"PAC 1, 3, 5"
ECE 192,001-003,Wednesday,"August 14, 2024",9:00 AM,11:30 AM,"PAC 1, 2, 3, 4"
ECE 203,001,Friday,"August 2, 2024",12:30 PM,3:00 PM,"PAC 3, 5"
ECE 206,001,Tuesday,"August 6, 2024",12:30 PM,3:00 PM,MC 4045
ECE 207,001,Thursday,"August 8, 2024",12:30 PM,3:00 PM,"PAC 2, 4"
ECE 208,001,Monday,"August 12, 2024",9:00 AM,11:30 AM,"PAC UPPER 9, 10"
ECE 224,001,Wednesday,"August 7, 2024",12:30 PM,3:00 PM,"PAC 2, 4"
ECE 231,001,Friday,"August 9, 2024",4:00 PM,6:30 PM,MC 4061
ECE 252,001,Tuesday,"August 13, 2024",4:00 PM,6:00 PM,DC 1350
ECE 260,001,Monday,"August 12, 2024",9:00 AM,11:00 AM,MC 4021
ECE 318,001002,Friday,"August 2, 2024",7:30 PM,10:00 PM,"PAC 2, 4, 6"
ECE 327,001002,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,STC 1012
ECE 340,001,Tuesday,"August 13, 2024",4:00 PM,6:30 PM,MC 4045
ECE 350,001002,Monday,"August 12, 2024",9:00 AM,11:30 AM,"PAC 7, 8"
ECE 380,001,Saturday,"August 10, 2024",9:00 AM,11:00 AM,DC 1350
ECE 380,002,Thursday,"August 8, 2024",9:00 AM,10:30 AM,M3 1006
ECE 414,001,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,MC 4042
ECE 432,001,Tuesday,"August 13, 2024",9:00 AM,11:30 AM,PAC UPPER 10
ECE 433,001,Monday,"August 12, 2024",9:00 AM,11:30 AM,"RCH 110, 112"
ECE 445,001,Thursday,"August 8, 2024",9:00 AM,11:30 AM,MC 4061
ECE 452,001002,Wednesday,"August 14, 2024",9:00 AM,11:30 AM,"PAC 7, 8"
ECE 454,001,Monday,"August 12, 2024",4:00 PM,6:00 PM,DC 1350
ECE 457A,001,Tuesday,"August 6, 2024",7:30 PM,10:00 PM,M3 1006
ECE 457C,001,Tuesday,"August 13, 2024",9:00 AM,11:30 AM,PAC 5
ECE 458,001,Thursday,"August 15, 2024",9:00 AM,11:30 AM,STC 0010
ECE 462,001,Monday,"August 12, 2024",4:00 PM,6:30 PM,MC 4063
ECE 463,001,Wednesday,"August 7, 2024",4:00 PM,6:30 PM,RCH 301
ECE 481,001,Saturday,"August 10, 2024",12:30 PM,2:00 PM,PAC 7
ECE 493,002,Friday,"August 9, 2024",4:00 PM,6:30 PM,Online-See instructor for exam details
ECE 493,003,Monday,"August 12, 2024",9:00 AM,11:30 AM,RCH 302
ECE 608,001,Friday,"August 2, 2024",12:30 PM,3:00 PM,PAC 8
ECE 614,001,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,MC 4042
ECE 632,001,Friday,"August 2, 2024",12:30 PM,3:00 PM,RCH 306
ECE 653,001,Tuesday,"August 6, 2024",9:00 AM,11:30 AM,MC 4045
ECE 657,001,Friday,"August 9, 2024",9:00 AM,11:30 AM,M3 1006
ECE 659,001,Monday,"August 12, 2024",9:00 AM,11:30 AM,RCH 302
ECE 6605PD,001,,,,,See instructor for exam details
ECE 6608PD,001,,,,,See instructor for exam details
ECE 663,001,Wednesday,"August 7, 2024",4:00 PM,6:30 PM,RCH 301
